"","cytokine","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32"
"1","EGF",0.182696233628192,0.0509297182606418,-0.0949958952027409,-0.0318096422316318,-0.0940436034483456,-0.0986165521412527,-0.189492547065833,-0.0829236361250765,-0.0211949286480431,-0.0638388555610745,0.00606686725793412,-0.0774948732999201,-0.143251692211684,0.0936564839829356,0.0212107258273613,-0.021536698348818,-0.0558253045712052,-0.00700396463416315,0.0346671319181322,0.149959820681941,-0.115608822759199,0.0902892916000568,0.198834092409184,0.0248779819099935,0.214672559951774,0.0829844254152968,0.137382135525035,0.278252286914557,-0.00167400097007975,0.142445989793498,-0.0188359700561104,-0.169032223805852
"2","FGF-2",0.163440933000844,-0.162268144505402,0.141175017059521,0.0251470151012299,-0.0534800543400744,-0.0107278975274398,-0.071010048811287,-0.0458264204783645,0.00490465900836206,0.0457795169028275,0.0613594835959045,-0.116356481927873,0.113595296993488,-0.125483705780017,0.00677654197251787,0.0734388299382822,0.115159865857569,0.176416164892036,-0.0386118696339557,-0.208691851802324,-0.230566359985741,0.0192564076901607,0.00674696390972179,0.213752524481901,0.0127716257711741,-0.290215311231265,-0.000824976168959484,0.233782660574093,-0.172611781651434,0.0867024420509155,-0.235638600194317,-0.0252415621180875
"3","Eotaxin",-0.0292313055903157,0.0565636112242759,-0.0557288722242914,0.191119278572207,0.135859411875279,0.227475543167883,0.0493553410381374,-0.2425830643928,0.109612462994791,0.0844826370610232,0.182170178739147,0.22887980053288,0.140957365899775,-0.164569874063001,-0.271089326849777,0.118470360341673,0.342228896289205,-0.425702861574017,0.0814551213152886,0.178033071554004,-0.0475920930139633,0.0445464115018243,-0.172243415591468,-0.0681082941278382,0.0710810649315674,0.0909387868050742,0.203907311365173,0.192553657134685,0.108412365245622,0.127171363593188,-0.202109061770446,0.012322570319167
"4","TGF-a",0.117325036474539,-0.0336602201647167,0.243406921494759,-0.0661416341423331,0.158166058115049,0.165373688346915,-0.0912225019615879,0.0244258772692894,-0.0707973281853684,0.039353378882021,0.0304636314700178,0.0652171861594374,0.0974290447635262,-0.0679246873570943,0.0224130513046923,-0.111977048727597,-0.0578890401096029,-0.159194831903327,0.0630813720534233,-0.119718919226678,0.246286014629425,-0.0497334722420118,0.0821375978655536,-0.135002879499936,0.0245930792798673,-0.00358057482341299,0.0673334628456505,-0.217274498847038,-0.0660193258181971,-0.0684983864218056,-0.0318321056116383,-0.0474512668730213
"5","G-CSF",0.0599247513668136,-0.18798050767552,0.188298029015004,0.0980455165798466,-0.243562603040832,0.103146384575956,0.0549205749658877,0.0427371934907273,-0.0156066877435716,-0.0836967779375962,-0.029479934778666,0.113870747126023,-0.0149642160073599,0.0311897772393294,-0.00850720875390095,-0.0941005129292997,-0.0274162093164998,-0.0122726606209359,0.0537187913516308,0.0427030175878634,0.118127611513795,-0.081130030194402,-0.0646997866064913,-0.0828237614884672,-0.0571244037649878,-0.0546382251823664,-0.0653547456008892,-0.00827366496571265,0.146766010079413,0.0458248852739427,0.0579546878047445,-0.0057436915934415
"6","Flt-3L",0.135334276932717,-0.210220967715117,-0.18860362190873,-0.0707017351993261,0.0077124499798706,-0.0349957724217393,0.0213906067165247,0.0197913035874277,-0.053342821696969,0.0163298173124708,-0.0101581403538364,-0.058012965206237,0.047649879353679,-0.0501383680382293,-0.00364020649032317,0.0151873191136531,0.0341364779702662,0.0791854270054797,0.0312023556994716,0.0326343956642614,0.0139195809801865,-0.101728005774009,-0.149633245507438,-0.0418932262250559,0.0257342320978057,-0.0612944257695206,0.0345789608391314,-0.0736376658173555,0.246568960451839,0.190510303206037,0.0299649000511388,-0.131973961858804
"7","GM-CSF",0.189404452816632,0.0122372089543483,0.0533351529174489,0.108968398513829,0.145824701158558,-0.0115742288944412,0.0125221480924318,-0.0724403011707046,0.0954799214003229,-0.0128497710972459,-0.0558844571156536,-0.111116093562848,0.110116675090351,-0.00315182846668391,-0.0600868884071115,-0.0572119393278554,0.0526435592699701,0.179873856110101,-0.0776495669191752,0.00180068953868957,-0.21468152084684,0.146186096688991,-0.0160364501867777,-0.0307784330765478,-0.0631242813767382,-0.0211000446258057,0.00653715242533911,0.139276988795918,-0.0118807567679869,-0.298643833258855,0.150842481068561,-0.00222285771659702
"8","Fractalkine",0.0140240106132429,-0.129642894255508,0.118833144917904,0.20832608142833,-0.233304191162262,-0.187177184369556,-0.122009373842053,-0.082150428407022,-0.112192292447415,-0.109344118884383,-0.032070294098893,0.176279167129741,0.00338875166135114,0.043677608324488,-0.022479235485144,-0.0622240494636924,0.031137622905806,-0.0172944403219732,-0.017558447441524,0.122424994360782,-0.0436035295293772,-0.0163461658065027,-0.0841206547954934,-0.0134569491827844,-0.0473002766865387,0.0244273380831768,-0.064884640307723,0.0422847995050265,0.0812520355600042,0.0585874665414366,0.155951835350625,0.0055455205549316
"9","IFNa2",0.100450745470684,0.0151679125813478,0.213631766205428,0.123124259773968,0.178447943762501,-0.105220742263698,-0.131230563657208,-0.190439963311773,-0.114334517966049,-0.1367705451306,-0.0612417833079468,0.0743277907447813,0.0544712807435871,0.0168795733635046,0.00350966597324167,-0.171208165344158,0.0742492349818811,-0.0492072525004397,0.00188073039248458,-0.184372322421381,-0.122931793314201,-0.0347689001780008,-0.0505276721856147,0.137071914160076,0.0306334452340326,-0.0515233463757055,0.00762114859259801,0.0355603125701066,-0.256766637882587,0.110194438054291,-0.0811868388059988,0.148473714470568
"10","IFNy",0.0254991999691871,-0.186833015407914,0.114603894229586,0.173891138808408,-0.294297421246445,-0.00404904612833263,0.0395279034953113,0.0551883512137131,0.0132779985986977,0.029410331117866,-0.0199623946558783,0.0736707851338753,-0.0278846468933669,0.00260530573768749,-0.0448121836554212,-0.0364743772885774,-0.0227242881372701,0.0966368828717794,0.0371161271156483,-0.0372581521882663,0.0687613120310455,-0.0670496880620497,-0.148880254299974,0.0513851155262692,0.0434002622842793,-0.0703595562306642,0.0320264913043587,0.113486059630054,-0.0340060089584945,-0.00583247360452369,-0.110134578955114,0.0360327409072299
"11","GRO-alpha",-0.0221504526496359,-0.0232567355879115,-0.0443186855463073,0.294609870095083,0.113057758836664,0.0360555130642725,-0.115337889451677,0.220428223922882,0.0650001098249686,0.271861494770388,0.219711600851839,0.0378473602638455,0.0259559494055533,0.160321455774212,-0.0364707836213596,0.0328513625336997,-0.241810500979474,-0.135731265506473,-0.0916465944353934,0.140044724357522,0.0697933431999892,0.0246786405200283,0.0582716836553866,0.0512842528122197,-0.180161125985589,-0.149879991538554,0.000732270727146519,0.0103851036084428,-0.143945591670181,0.120273647610524,0.138303674631208,0.139489523268171
"12","IL-10",0.144708845905322,0.0461227079291585,-0.0572469708540337,-0.0325541802689156,0.00282653731213684,-0.218010318294935,0.20588791449654,0.245456851524006,-0.163606246102348,0.0268549767834018,0.052197571528224,0.229786116108437,0.0564674891097466,-0.0285957849478868,-0.035073598643184,0.0644016435138709,0.112706671319673,0.0479130837666626,-0.274823249580475,-0.0602520216348505,-0.141558529410401,-0.00530900771929265,-0.117565174807813,0.00599391549859988,-0.169506954073032,0.224801412537419,-0.111442818459344,-0.191574702647326,-0.0414479417498397,0.076903328046265,-0.0897692205023558,0.277980502799835
"13","MCP-3",0.210538373029515,-0.0241408537933323,0.020726339453145,-0.0854469572645253,0.0697681391338809,0.0481968720326893,-0.0434947340625396,0.0200237215200206,-0.00651779818991724,0.0287124796054534,-0.0185077632693435,0.014662598367094,-0.0689617126660131,0.0685330790163624,0.118793108260531,0.0270295801663936,-0.024397836244133,-0.0420754193340499,-0.0184886681262994,0.0817003342302629,0.0431866937134131,-0.0669674795447194,-0.0679237481539504,-0.0488884620653132,-0.0574590074464224,-0.0201367789868307,-0.0170539129965589,0.0766266092804851,0.102331790948582,0.0288257854273449,0.0529548584213383,-0.0198053526528488
"14","IL-12P40",0.139633543728337,-0.0220008959897999,0.0843662300866794,0.113338170496262,0.17534020748343,-0.0460140391943605,0.0997082336745976,-0.221726176784125,0.00707093845335209,-0.2584801576216,-0.223485149146975,-0.00309199882268572,0.0428113187651965,0.0504756444344159,0.0492231167134952,-0.218956523930532,0.0390331023539087,-0.143944763809598,-0.128011995222618,0.0693384571842514,-0.171077006077131,0.0994414918294431,-0.0770867915780879,0.0545896722356364,-0.084385297955031,0.0253177652509965,-0.0391831377114475,0.00968497667221292,0.0736808993270931,-0.0320236461312195,0.209080454721168,-0.210372394195977
"15","MDC",-0.111262324693948,-0.0797334031091351,0.0390316535495326,-0.0595182666102685,-0.0423679849846079,-0.0388124505624573,-0.265383801268847,0.125714606452083,-0.0905848871346614,-0.0138328526768648,-0.32527178054496,-0.307081997806886,0.318964829800633,0.29708669271101,-0.138498632818228,0.0655621045013112,-0.136295575780359,-0.179270694333769,-0.274607088229765,-0.0706103829520089,0.131729913010567,0.201561302007188,-0.104201919118691,-0.012026585579149,-0.227321890086422,0.0825928450994889,0.16249126921353,0.085295818652839,0.0692055473424237,0.123847362211185,-0.273829192203176,-0.0421593069492211
"16","IL-12P70",0.0259303022893764,-0.185648590716196,0.117298999891123,0.115675294998045,-0.309524698783383,0.0541909624195511,0.0304177717724799,0.0653553079196106,-0.0381172380220123,-0.0712875836166481,-0.0309031892127746,0.163199519797868,-0.0949546641843365,0.0950395158060092,-0.0936283364244914,-0.168884178401663,0.0503779568947523,0.0523214878908647,0.0791133013565407,0.0370122781285883,0.0472787746493503,-0.0777870248676481,-0.0375098072910283,-0.0585294538073042,-0.0583114808630447,-0.0108865543637045,0.0719832741802934,0.0273655412120595,-0.0508238373765969,-0.0231216918842014,-0.0734479676479721,0.0351556004257351
"17","PDGF-AA",0.0611745023033376,-0.00259743891919706,0.183832116691495,0.263423443594256,0.143400554766918,0.0103250674422134,0.0283188566093933,0.0387881816676616,0.0235633802625683,-0.031690611193735,-0.0438614250656204,0.0289081266974378,-0.2527153689793,0.130438028569763,-0.264990679664318,0.0158154489047898,-0.0864392895190754,0.0886007179124672,0.140276273087529,-0.224606588522499,-0.133454289015954,0.112350127295281,0.229383944755334,-0.0271408487681075,0.0206284462613627,0.343458438016011,0.143726312629308,-0.241785214208435,0.00549924855819984,-0.142676356603607,-0.0969160516972931,-0.11615073030195
"18","IL-13",0.1952448621295,0.119722360409815,-0.0379644289777235,-0.0435727383381562,-0.076560546146597,0.0814845263572689,-0.10846178784979,-0.0339422613078473,0.062174457842866,0.0391253533199953,0.00360866135636749,-0.00608251260429124,0.0155791691309618,0.0726971214120689,0.0706707428267683,-0.0419400417834395,-0.00441180556969518,-0.0175822721146677,-0.00732243255204185,-0.00326153101920142,-0.0109337995631844,-0.139714197235231,0.0463628854128177,0.0419508871983948,-0.0753853214986901,0.0778445823776737,-0.0186316596092512,0.193891798152893,-0.0518159920705592,-0.0618653065640965,0.00143333125479278,0.0414186506523028
"19","PDGF-BB",0.0631692313156762,-0.0166072679387827,0.168569266768319,0.260136414011261,0.144113121039724,0.0415795102273464,0.00907561364784573,0.148621305973682,0.134463212583774,0.00130650101189454,0.111715281525473,-0.118902049326344,-0.00916562380569721,0.20434238054145,-0.11279585292311,0.0506144037794333,-0.134487097754797,-0.020218819505189,0.269306674927964,-0.297674880690161,0.0389559503282817,-0.105600951426099,-0.120337394021127,-0.0252554126953649,0.0859341226106122,-0.0832433479847062,-0.0731921349194348,0.0751775004171043,0.0589929430968978,0.254275400755027,0.274478525503079,0.0249492268949923
"20","IL-15",0.164965983207027,-0.128295227872868,-0.103543510682013,0.0469717543356902,0.130060203583492,-0.121712909174078,-0.0134857718891477,-0.0177393957138536,0.129159291527085,0.0505990749522916,-0.0200578870053693,0.0813445817005805,0.0852890066767805,-0.142864274639342,0.0652295413503066,0.103488263844923,-0.151096800181125,0.142168256168048,-0.179695622147499,-0.107848571277065,-0.024138733105493,-0.158179438624652,-0.165371255912373,-0.269134725662775,0.246117483621555,-0.0131130530172169,-0.0508477303877695,0.113551590938409,-0.163259807191917,-0.180665686224904,-0.0691172142575788,0.060405697725652
"21","sCD40L",0.032043865391638,-0.0201338261154393,-0.0428895597855658,0.274795783217476,0.0671529109118764,-0.170911272810815,-0.0439981700595317,0.0586361231141791,0.245299516397304,0.181419849041309,-0.20852716398367,-0.128252912482188,-0.231541937301349,-0.254772920427796,-0.0513800261225515,-0.110443876460104,0.223290997329314,0.163027517369804,-0.108261823335771,0.259359423800536,0.202336658240536,-0.0136314432930293,0.127698415620555,0.0377948072717611,-0.212696721971458,-0.011694903342248,0.0546277345477396,-0.0533719284460711,-0.195919376647777,0.161583279636469,0.0552674058625916,-0.142330892866743
"22","IL-17A",0.0170854194434074,-0.180298570141601,0.150064360460641,0.0858122072665259,-0.302779813056334,0.0831986757120063,0.0948615370144377,0.0178819091430456,0.0104670371345727,0.0317105276954968,-0.0260010312862919,-0.0510857776172689,0.0482771628611811,-0.178650301602778,0.085479399461852,0.112904121677996,-0.0326978326567276,-0.159267753851463,-0.121394416238616,0.117686215240677,-0.132230996528007,0.20939488102378,0.0488219725797627,0.0840901763036333,0.0502918648896164,0.0701567837774998,0.0253012850136023,-0.0391808272448594,-0.121691516783183,-0.0444914116087268,0.0892997900678378,-0.00284249331326859
"23","IL-1RA",0.114476279829769,-0.11283209394216,0.163306422862394,0.0688497943825323,-0.196987401858746,0.113538219506534,0.0240789607379088,0.0176236236610268,0.062149376463295,0.174924353278615,-0.0385630899854414,-0.17574219593723,0.157976227349419,-0.303801976535701,0.136057879836596,0.108823273872645,-0.177559569695933,-0.209785293455857,0.0533658064910266,0.0669401585243458,0.0360218668807329,0.0699832556785796,0.205208159606698,0.0544608417908544,0.114840410439314,0.124362897063906,0.0192076604929904,-0.140448635600512,-0.0143231329959933,-0.13087739371363,0.00400856562834054,-0.0137608471345041
"24","IL-1a",0.183256685087437,0.16112407424816,-0.00694854907015093,-0.0211983904435819,-0.0814931067972973,0.0631270491721399,-0.101129688846194,-0.0554029317072651,0.0262182166952604,0.0105741174861409,-0.0360938033317148,-0.00328653708620747,-0.0919851256668908,0.119289225569382,0.138320977180509,0.0514733676818017,-0.0218767035173139,-0.183803155243663,0.0478076473732634,-0.000256342622610091,-0.0284420871459854,-0.0488297263572455,-0.10728667145339,0.0828326758089739,-0.00750554713501357,0.0260532113483048,0.0343541654059148,0.0515719132814676,-0.217623896965137,-0.0770407889929754,0.0890412992447032,0.0576721594577605
"25","IL-9",0.103485760532264,0.219565653963386,-0.0618019473689677,0.0500114049847047,-0.178366775229517,0.0963870397505471,-0.113375319315299,-0.14903959556012,0.179478123122434,-0.0772103955639314,0.054022727714437,-0.118133881451085,0.194719636684428,0.00297905797873394,-0.0728955267673934,-0.0826066410400939,-0.00820169105657912,0.0846308183480457,0.0260503528142612,-0.0927453808796148,0.0232037996991908,-0.0284550049833964,0.0744123642561008,0.0337138888403981,-0.0866134768759221,-0.00843173139448696,-0.0498183664449338,-0.0451781305221464,0.096973852223859,-0.060390199320303,0.0273801486560933,-0.00389949348912566
"26","IL-1B",0.175181684683111,-0.17029967146762,-0.040941299151402,-0.0991526891563426,0.117215294176876,0.011022341630085,-0.0359570955976417,0.0216286738507374,-0.011481720504698,0.0520945380511517,0.00541156134025792,-0.00560503904614539,0.0452600198063581,-0.0144115307120138,-0.0138288326209698,-0.0981995506317896,0.0447784322250179,-0.0612375709685599,0.0447182471696613,-0.0609878715904006,0.0753976258487647,-0.0721387830304227,0.0241842695403552,-0.0966106148960823,-0.00167066511384764,-0.0457707330021675,0.171910719224497,-0.125995318519009,-0.0175730589087296,-0.111208478393557,-0.0879078998220098,-0.0498730627881591
"27","IL-2",0.148627635131596,-0.188326889955488,-0.165674457007977,-0.0930976818318717,0.0560170930101229,-0.0766647921528886,-0.0251093018034078,0.0174764227246364,0.00370672199485872,0.0547190364653988,0.00274442377367914,-0.0294590551926455,0.0103339030032872,0.00974705549450532,-0.033403690401745,-0.060173753544387,0.0876477677205546,-0.00800482321936186,0.0294470250988895,-0.00705822899105949,-0.0284695523935179,-0.0567009280800461,0.0163421918874657,-0.0655481778996528,-0.01303011458039,-0.0390012315573429,0.190894168243151,-0.0671044399447325,-0.00945907805911608,-0.112388686682909,-0.0967230080914467,-0.0474941188547523
