"","MS1","MS2","MS3","MS4","MS5","MS6","MS7","MS12","MS13","MS14","Epi1","Epi2","Epi3","SNAE4","SNAE5","SNAE13","SNAE14","NEpi1","NEpi2","NEpi3","NEpi4","NEpi5","AE3Ctl3","AE4Ctl4","Ctl12","Ctl7","Ctl8","Ctl2","Ctl3","Ctl4","Ctl5","Ctl6"
"ANO8_hblOligo5778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69897000433602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CACNA1B_hblOligo16563",0,0,0,0,0,0,0,0,2.78958071216443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CACNA1H_hblOligo146744",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99563519459755,0,0,0,0,0
"CACNA1H_hblOligo16715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55630250076729,0,0,0,0,0
"CACNA1S_hblOligo146786",0,0,0,0,0,0,0,0,0,0,0,2.17026171539496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CACNB2_hblOligo16821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30102999566398
"CACNG6_hblOligo16854",0,0,0,0,0,0,0,0,0,0,1.23044892137827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CATSPER4_hblOligo17721",0,0,0,0,0,0,0,0,2.18184358794477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CATSPERZ_hblOligo12245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92941892571429
"GRIN2A_hblOligo172765",0,0,0,0,2.07188200730613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRIN2A_hblOligo172767",0,0,0,0,0,0,0,0,1.23044892137827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRIN2A_hblOligo44932",0,0,0,0,1.23044892137827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRIN2A_hblOligo44934",0,0,0,0,0,0,0,0,1.69019608002851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRIN2B_hblOligo172782",0,0,0,0,0,0,0,0,2.25042000230889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRIN2B_hblOligo44949",0,0,0,0,0,0,0,0,1.51851393987789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNH5_hblOligo52596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19865708695442,0,0,0,0,0,0,0,0,0,0,0
"KCNJ9_hblOligo179937",0,0,0,0,0,1.75587485567249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNK5_hblOligo52769",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14612803567824,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNN1_hblOligo52807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38021124171161
"SCN2A_hblOligo224054",0,0,0,0,0,2.87273882747267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39967372148104
"SCN3A_hblOligo224078",0,0,0,0,0,2.51587384371168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9731278535997
"SCN3A_hblOligo252649",0,0,0,0,0,1.57978359661681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCN4A_hblOligo224099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56820172406699,0,0,0
"SCN8A_hblOligo224165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56466606425209
"CADPS_hblOligo16912",0,0,0,1.56820172406699,0,0,0,0,0,1.49136169383427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39794000867204,0,0,0,0
"CADPS_hblOligo16919",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12710479836481,0,0,0,0,0,0,0,0,0,0,0,0
"CASK_hblOligo147497",0,0,0,0,0,0,0,0,1.25527250510331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERC2_hblOligo163250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95904139232109,0,0,0,0
"NF1_hblOligo79759",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23044892137827,0,0,0,0
"NRXN2_hblOligo81907",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69897000433602,0,0,0
"NRXN3_hblOligo205852",0,0,0,0,0,0,0,0,0,0,0,1.75587485567249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
